created_at,date,client_name,project_title,formatted_time,seconds,formatted_rounded_time,seconds_rounded,rate,billing_status,notes,owner_name,task_title,task_service_name,tags
2026-01-19 20:35:33 UTC,2026-01-19,"","",00:15:12,912,"","",0.0,Unbilled,What is continuum page update (Claudia),Adrial Dale,"","",""
2026-01-19 23:01:22 UTC,2026-01-19,"","",10:33:01,37981,"","",0.0,Unbilled,CSU brand asset generator,Adrial Dale,"","",""
2026-01-16 23:24:55 UTC,2026-01-16,"","",04:33:35,16415,"","",0.0,Unbilled,POPSIM costing calculator clayton,Adrial Dale,"","",""
2026-01-09 21:29:56 UTC,2026-01-09,"","",09:41:45,34905,"","",0.0,Unbilled,Cabo Broncos new website design & development,Adrial Dale,"","",""
2026-01-06 19:35:50 UTC,2026-01-06,"","",00:45:26,2726,"","",0.0,Unbilled,POPSIM shiny app page content & FAQs functionality implemented,Adrial Dale,"","",""
2025-12-30 17:45:24 UTC,2025-12-30,"","",02:29:35,8975,"","",0.0,Unbilled,"Gillings TWAG rebrand (main hero & 9 headers), then implement in Mailerlite; Will's Alumni in Focus email hero & headers",Adrial Dale,"","",""
2025-12-23 00:35:00 UTC,2025-12-22,"","",05:26:14,19574,"","",0.0,Unbilled,Fortitude development (everything but homepage) CONTINUED FROM 90 HRS IN INVOICE DRAFT,Adrial Dale,"","",""
2025-12-23 00:43:09 UTC,2025-12-22,"","",01:33:13,5593,"","",0.0,Unbilled,"Definian add 3 new articles to website (optimize image, meta description, tags, reformat)",Adrial Dale,"","",""
2025-12-16 23:37:58 UTC,2025-12-16,"","",04:15:31,15331,"","",0.0,Unbilled,"'- Cliff cottage articles & SEO
- Re-layout of rack card (Moo dimensions instead of Vistaprint)",Adrial Dale,"","",""
2025-12-09 23:44:29 UTC,2025-12-09,"","",03:49:57,13797,"","",0.0,Unbilled,"Definian website updates per email (""Definian.com - Edits required"" on 12/5), updates to Oracle landing page per Conner Knepley feedback",Adrial Dale,"","",""
2025-12-03 18:34:26 UTC,2025-12-03,"","",06:44:39,24279,"","",0.0,Unbilled,"'- CSU timelines updates (El Centro, B/AACC), send final files to printer, to-dos list meeting w/ Kauline
- BHM flyer",Adrial Dale,"","",""
2025-12-01 18:35:26 UTC,2025-12-01,"","",00:35:32,2132,"","",0.0,Unbilled,"Definian non-website: ""Definian Way Winner"" email banner",Adrial Dale,"","",""
2025-11-25 18:07:07 UTC,2025-11-25,"","",01:46:07,6367,"","",0.0,Unbilled,Impact Report 2025 Mailerlite setup and QC,Adrial Dale,"","",""
2025-11-14 17:41:55 UTC,2025-11-14,"","",01:00:00,3600,"","",0.0,Unbilled,Selfcare Jeremy work (blog & image),Adrial Dale,"","",""
2025-10-28 20:37:44 UTC,2025-10-28,"","",00:00:01,1,"","",0.0,Unbilled,Sheps (Data)+ continued (after design #2 presentation 12/8),Adrial Dale,"","",""
2025-10-28 20:24:08 UTC,2025-10-28,"","",00:59:11,3551,"","",0.0,Unbilled,"Water Institute: Continued work on conf webpage (Mailchimp updates), updated post-conf page (disabled registration buttons, added recorded presentations, added top abstracts, new photos) â€” from email subject ""video presentations on youtube""",Adrial Dale,"","",""
